exper_data_id,pop_label,env_label,block_id,date_str,time_str,SF,SB,FS,FB,BS,BF,QC_label,temperature,rel_humidity,experiment_ind,logD,line_nb,population,session_id
F045-20230516_130452_proc,CA3100L46,NGM,F045,20230516,130452,-0.456116384672115,-2.64010938920369,-3.41376174045734,-1.71358610169895,-4.7400003576862,-0.864483072122418,ok,24.4,38,2415,5.01006022075856,46,CA3100,E
F045-20230516_132717_proc,CA3100L41,NaCl,F045,20230516,132717,0.139500896829283,-0.956322452008152,-3.03585625422227,-0.855358073349021,-3.82443886625719,-0.329499183799092,ok,24.4,38,2416,2.55846757377745,41,CA3100,E
F045-20230516_141236_proc,CA3100L46,NaCl,F045,20230516,141236,0.859526204254603,0.114111119260694,-3.07879095118751,-0.744206608229593,-2.52537133383028,0.30184628629413,ok,24.4,39,2418,0.890759355335808,46,CA3100,E
F045-20230516_143434_proc,CA3100L60,NaCl,F045,20230516,143434,0.424771173727941,-1.44134429207091,-2.89368133368343,-0.708459365376894,-3.07961365580579,0.815131119336976,ok,24.3,39,2419,0.966796189092317,60,CA3100,E
F045-20230516_151822_proc,CA1100L68,NaCl,F045,20230516,151822,-0.155623553564738,-2.15758075671359,-3.07141450256904,-1.53260413270794,-3.77434500048839,-0.373506369682985,ok,24.5,39,2420,3.87050119624024,68,CA1100,E
F045-20230516_153905_proc,CA2100L9,NaCl,F045,20230516,153905,-0.016448169012964,-1.10670783128623,-3.38219822010079,-1.03990417230139,-4.19908153877385,-0.721888296402859,ok,24.5,39,2421,3.821913970207,9,CA2100,E
F045-20230516_160032_proc,CA3100L41,NGM,F045,20230516,160032,-1.09245345616695,-1.54097193814064,-3.02100871392257,-1.00973072812898,-3.69072168976905,-2.22480293738345,ok,24.5,39,2422,5.29795196441726,41,CA3100,E
F045-20230516_162659_proc,CA3100L43,NaCl,F045,20230516,162659,0.509297310555579,-0.890152224664372,-3.24861955466366,-0.383901773164285,-3.74129284973631,0.250502594443589,ok,24.6,39,2423,1.33621017363696,43,CA3100,E
F045-20230516_164735_proc,CA3100L120,NaCl,F045,20230516,164735,-0.27909617625626,-1.77503775409455,-2.76446708934422,-0.896293710596462,-4.44238641457058,-1.06465566284004,ok,24.6,39,2424,4.20938019438291,120,CA3100,E
F045-20230516_173208_proc,CA3100L60,NGM,F045,20230516,173208,-1.12428111203023,-1.2014380542739,-3.59434550448694,-1.61231687670334,-3.27295508382907,-1.55445671654948,ok,24.6,42,2425,5.16794355692064,60,CA3100,E
